prompt	solution0	solution1	label
بَرُوشو` مَرکَہ ، گِلگِت بَلتِستان مینےࣷ دوا؟	میڵ گوُشاسکی ایتاشو سیسےࣷ	بروشاسکی ایتاشو سیسےࣷ	1
مِیئ مِیڈِم اُلے بیروم تینجو بیین؟	الھتو تھا کا بشیندو	التو تھا کا چیندو	0
گوسے بُردی اولے بیروم کھیِنٚ؟	اسکو	والتو	0
اسقور انے دُخَر ݜَہیلی مَنُمبھی؟	ایش اُلےࣷ	ڎھَغَچِ	1
ساࣷ چھر ایلجِکن باوئیچُمبھی؟	اوا	بےࣷ	0
تے یاٹے ہا یا شَرن کھاݜ ایچُمان؟	پھوࣷپوࣷس	کدن	0
داغُم کا بایو ڎلَہ نیگئ یارا پھو نِت اشکوا یاٹے غارے ایتن کا؟	سیغا مُول سِمان	تیغا غوستہ سِمان	0
ایَش بلژ مَیوندوا؟	ڈیم اِݜقم	ݜِر باردُم	0
موچوغُن گُس مُغا بو سِمان؟	ہلِس	داسِن	1
مَلُلے کامن جغَچِ واوے غاشو کا الو بَژوینٚ ایتوکا	تِغا شَنی سِمان	تِغا ڎھَغَ سِمان	0
جا کا عُن غارےࣷ ڎیرانا گرماشہ ہُن دِچَہ	غُلھچمِ گَندِی	شِچُمےࣷ گَندِی	0
سییسےࣷ بو یَٹِ یشُمان؟	عُمِمو یٹِےࣷ	اُلھچِمو یاٹِےࣷ	1
تھپ کھُل مَنی کا بو مایوندوعہ؟	سَہ دوشُمبِہ	سَہ بَوچُمبِہ	0
کاجولی مُیَہ مُہُلِسَہ لَلا بوتہ سِمبو؟	کاجوڵی مُچُم نِیو بَئےࣷ	کاجوڵی مُڎُ م اِچُغُن بَئی	0
بَرُم ڎِڵ بالتک ڎِرندُعَہ؟	سیس گُڎَراس گَن گان	ڎِڵِ شہ گان	1
پِشین سیمان	سَہ نُپَو تھپ کِن مَنی کَہ	سَہ ہَول دُسِی کَہ	0
چِدِنا ڎِڵ نَتھِی پھچی پھُویٹےࣷ اوسِن کَہ	بَپَڅِمی	دیرِچمی	0
تھپ مَنِکا ٹانٚ مَیوندُعہ، بُھڵتُ مَنِکا؟	مَتُم	گَری	1
بَیکِی اجو بُٹ اِچُندُواہ	گَرُمکُݜ	چَھغُرمکُݜ	1
ہِک دِن عُلے بیرُم ہِسامُہ مَیومبِین	تُرمَڵتو	تورُم	0
چِھݜک یٹے بو اچُمان؟	یارُم شوڵتہ دوشُمان	ایَشَہ دوُڵچُمان	0
منژ یٹےࣷ ہُن دِخَرچُمان، دا کَھپُن یٹے	پَھڵو سُیُمان	گرنج کا ڈَوڈَو شِچُمان	1
دَسِن مُنِیو مَنُکَہ	ہِر مَیُمبَئی	گُس مَیُمبُہ	1
ہلِس نِو مَنِکَہ	ہِر مَیُمبَئی	گُس مَیُمبُہ	0
ہُک گُس مَنِکا سیغَہ سِمان	بہے ہُک	وَڵ ہُک	0
ہُک ہِر مَنِکا سیغَہ سِمان	بہے ہُک	وَڵ ہُک	1
پَقو دستِرچُمےࣷ گَندی بُٹ اواجی دُوَہ	پھُ	ژِل	0
تَھمبُکُس ہِسَہ چہ بو ایچُمان؟	تَھمبُکُس ہِسَہ چہ مَلِنٚ کا شَنٚ ہَرِچُمان	تَھمبُکُس ہِسَہ چہ مَلِنٚ بِسارچُمان	0
تھپِہ ایَش مَکُچی اسُمیُو بو مَیُمبِین؟	اسُمیُو لَپِش دِچُمبِین	اسُمیُو چِژ دِچُمبِین	0
غُٹُم دُنِشےࣷ گَندِع بو اواجی دوا؟	غُٹُم دُنِشے گَندِع اے گندِع بِسکا اعِچُم	غُٹُم دُنِشے گَندِع اے گندِع سبق سیم اواجِع دوا	1
مَرُک بو چُم دِسمَیومان؟	مَرُک مَمو چُم اعِچُمان	مَرُک ژِیل چُم اعِچُمان	1
اَیدِرِم پاقو غَہ بو سیمان	اَیدِرِم پاقو غَہ دوغُنُم سِمان	اَیدِرِم پاقو غَہ دَغُئی سِمان	1
اجو بُٹ دُوغُنُم میوہ غَہ بو سیمان؟	جُرُٹِہ	تُتوو میوہ سیمان	1
جا ایا بو چِہ نُکٹ گوغا ڵین اِتہ	تِن چِہ	چَھپ چِہ	1
اَکھَبیر گُس مُغِہ بو سِیَنَ؟	وَو	بَپ	0
بُرُم گَٹُنز نُوِل چُٹِکِہ پَھرچِھ اُسَہ کَہ بو گُنِیُو	ہِر گُویُما	گُس گُوَیُما	0
گِرمِنچُم ہَکِم بُٹ گَران دُوَہ شُوا	شِہ	گُسکِہ بَلِݜ	1
مِلُلِہ گُر دُغُنِکَہ بو اِچُمَان؟	ہَرِچُمان	بِسارچُمان	1
سُم بُݜُہ اِسکِہ دنُکُس مَنِکَہ	بِیَٹہَر سِمان	ژِیَر سِمان	0
ژِلم بُݜُہ اِسکِہ دنُکُس مَنِکَہ	بِیَٹہَر سِمان	ژِیَر سِمان	1
سَہ جِل مَنی کَہ تِہ غَہ سِمَان	دُوغُئی	چَھݜٹَکَل	1
سَہ ہَن	اسُمُنَن بِہ	څِنَن بِہ	0
ڎِڵ بُٹ چَھغُرُم مَنِکَہ	تُھخ تَلیُندُوَہ	غَمو تَلیُندُوَہ	1
ژِل بُٹ گَرُم مَنِکَہ	تُھخ تَلیُندُوَہ	غَمو تَلیُندُوَہ	0
چَھرِ څُخ یَٹِہ ٹُک دِن ایِدُہُکُم غَمو غا	گیِہ سِمان	وَل غَمُو سِمان	0
ہُنچِہ نُپَل پھُہ نِمَہ بَتُم پھُکَن دِواسِہ کَہ سِغَہ	پھتِنٚ سیمان	ہَنجِل سِمان	1
ہُنچِہ بَلِچُم یَٹِہ پھُکَن ݜِر باردُم منِکا تیِغَہ	ڎِرَخ سِمان	پُتُنِݜ سِمان	1
ہُنچِہ نُپَل پھُہ نِمَہ ݜِر باردُم پھُکَن دِواسِہ کَہ سِغَہ	پھتِنٚ سیمان	ہَس سیمان	1
چھَر یَٹُم دَن نُوَر دِیَکَہ سِغَہ بو سِمان؟	ژنٚعَہ	شُول	0
ہَغُر یَٹِہ بو اِچُمان؟	بُلٚہ	دَپھ دِچُمان	0
ہُنِ نُکُرگُن	دِلٚ دِوُشُمان	ژِلٚ دِوُشُمان	0
ژَکُنِ بو اِ چُمبِہ؟	عُنٚ اِچُمبِہ	غَرِچُمبِہ	0
دَن یَرُم بُلٚ	دِیارچُندُعَہ	دُوشُندُعَہ	1
چھُمُݜ گُوَنَہ کَہ بو مَیُندُعَہ؟	گُص گُخُلُم بِہ	گُمُش ژُرُمبِہ	1
شِن یَٹِہ غئیِنِٚ چھُوِنِٚ	دُغُنُم بِژَہ	دِرِمبِژَہ	0
چھر دوہُرچَہ اِتُم بِہ بوتَہ سِیَہ؟	ڈَنٚ مٓنُم بِہ	دوغُرغُنُم بِہ	1
گِرمِناسِہ آجو ݜِہیلِ غٓر بو اِتُم بٓیِ؟	گِرمِنُم بٓیِ	دِشُنُم بٓیِ	0
ہُن ژِ بٓلِ کَہ بُو دُشُندُاَ؟	تھٓس	وِرِ	0
بَلُگُن اَنِے مٓیُم بِہ؟	چھَر یَٹِہ	شٓنِچِہ	1
شُوَہ سِیسِہ بو اَیِچُم بٓیِ؟	ژٓن بَرِنٚ	پھَیِنٚ بَرِنٚ	1
گَر اِتَہ کَہ گُیُو مَیُمان تے گَر اِچُم بُو دُوَہ؟	شُوَہ دُوَہ	شُم دُوَہ	0
نَنِی تَتِی بَر یَنَہ کَہ بِسہ	گُیَر چُرِمِہ	گُیَر اَیِچُرِمِی	0
اَجُو دُروُہ اُل٘ے گُوَنَہ کَہ تِیغَہ بو سِمان؟	اَچھَن دُوَہ	اَچھَن اَپِہ	1
جَہ چھَم امَنہ کَہ بو اِیچَم با؟	پَقُہ	ڎِڵ	0
گویٹُم نظُر امیت کھین اُڵے سِمان ؟	میࣷنہ ژُم بُٹ خلفہ مَنین کَہ	میࣷنہ ژُم بُٹ غُوشان مَنین کَہ	1
ہرَلْت یارے مَنُم گُراہ بو سِمان ؟	مکُچِہ	دوغنُم	0
تق ایࣷتم باࣷ یو غاࣷ بو سِمان ؟	ٹر منُم	گُورگُنُم	1
بپےࣷ بَروم ہُن بو یٹےࣷ دُڎھُئہ؟	ہَر یٹےࣷ	ژکُن یٹےࣷ	1
پھَلُو دِھُرن کَہ بو مَیُم بڎَہ؟	دغُم	تِک	0
بَشہ ہِک ہِسا مَیون دُوَہ ؟	تورُم کڎَہ	الھتَر تورُم کُڎَہ	1
شھڵتُم ڎَل ہاڵہ دوسِکا تیِغَہ بو سِمان؟	چوٹروغ	ہُر ڎِڵ	0
مَڵ یَلچُم یَٹے ڎِڵ کھٹ تھَنِشہ دوسِکَہ تیِغَہ بو سِمان؟	چوٹروغ	ہُر ڎِڵ	1
گھر ڎُم اِیلجی ہڵس، داسِن مو بو میُم بئی ؟	مُہوڵِس	مُیُو ہَر	1
جاࣷ تَتی، تَتی جغَہ بو چھُرُم بئی ؟	نُیو تَتی	بَپ	1
جاࣷ تَتی، نَنی جغَہ بو چھُرُم بو؟	وَو	بِچِہ	0
گٹُنز ڎِے تھِر مَنی کَہ بو اِچُمان؟	لِپ اُچُمان	ہَلچَچُمان	1
ہیک دِن اُلے بیرُم ہِسَموہ مَیُم بِین؟	تُرمَلتو	تورُم	0
گُنڅَھٹُم کھین اُڵے سَہ ہَول دُسیکَہ سِغَہ بو سِمان؟	چَݜٹَکَل	سَہ جڵ	1
مِڈِم اُڵے بَٹ اُلِکَڵ بو بو مَیوم بِین؟	ڎِڵ ، تِک کا تھݜ	بیس، چھَپ کا تن	1
کھَک اُڵے بو مَیون دواہ؟	بڵ	تَغہ	0
ژوَاس گُنزہ بو سِمان؟	جِمڵ	ساٹِک	0
دِیَنٚوشِم گُنزہ بو سِمان؟	جِمڵ	ساٹِک	1
نَنِی ہَول دِمَنُم مُیِسَہ بو چھِچُم بُہ؟	دِڵ	مَمو	1
بِیہ چھُم بݜُو دِمَنی کَہ سے بِیہغا سِمان؟	بسمڵ مَنُم	ہَھڵکُم	1
جی دوسُم مَلَہ بو سِمان؟	یورُم مَل	دیمَنُم مَل	0
بَپَم مَمو غَہ بو سَمان؟	دِسپُقُم ممو	جُوݜک ایتُم مَمو	0
پھڵَڵِنٚے ڎِلٚ گُس گُخُلِنیکَہ بوتہ مِمان؟	چھملنگ دُدا	مِلِہنٚ دوا	1
مُچݜک یٹے بو اِچُمان؟	پَقو اڵھتَلِمان	ڎِڵ اسپَپَچُمان	0
شندور اُڵے ہَغُر یٹے نُہُلجَہ بو اِچُمان؟	بُلٚہ	دَپھ دِچُمان	0
ہݜڅھ یٹےࣷ بو اِچُمان؟	بَریچُمان	ہَریچُمان	1
شندِݩ بڵتُم نیࣷت ہُڅ یٹہ دِیَشچُمان؟	بڵدھ نیࣷت	اݩگن نیࣷت	0
شِنیکی بو بُٹ ایچُندوا؟	گَرُمکݜ	چھغورُمکݜ	0
نُݜےࣷ بو یٹےࣷ ڎڵ تشچُندوا؟	ݜَریو یٹےࣷ	ڎرِھݩ یٹےࣷ	1
دَغُیےࣷ پَقو ݜیہ کہ بو میمی؟	گوࣷس گُخلمی	تتغر گوچِمی	0
بڵس نِیرَن کہ شےࣷ سر یٹےࣷ بو ایࣷچُمان ؟	پلسک	شوقہ	1
قرقَمشےࣷ بو وشچومبیࣷ؟	دن	ٹݩعن	1
چھِوےࣷ بلتم ایࣷچیࣷمیࣷن ؟	چِیپھ چِیپھ ایࣷچُمبین	اوݩ ایࣷچُمبین	0
گِری انےࣷ مَیُم بِیہ؟	پھَری اُوڵے	اَمبجت اُوڵے	1
قرقَمشےࣷ ٹݩعن بلتُم نِت ݜِڅُمان؟	دِستر ݜِڅُمان	لِپ نِت ݜِڅُمان	0
چَکاشو تڵےࣷ مکُوچی بو مایوࣷمبڎَہ؟	کَتلِݩ	بَلِݩ	1